Topic,Count,Name,Representation,Aspect1,Aspect2,Representative_Docs
-1,263,-1_rf_ghz_mhz_frequency,"['rf', 'ghz', 'mhz', 'frequency', 'signal', 'bandwidth', 'channel', 'spectral', 'dish', 'range']","['power', 'frequency', 'band', 'rf', 'dish', 'spectral', 'equipment', 'data', 'range', 'standard']","['rf', 'ghz', 'frequency', 'channel', 'spectral', 'range', 'polarization', 'ska1', 'cspmidcbf', 'sky']","['Any component of the Dish (specifically the Feed and Receiver) shall not add RF power to the signal chain, anywhere in the band-specified frequency range, which produces a power spectral density, referenced at the input to the LNA, that is greater than:\n- The Spectral Line power threshold levels defined by:\n  as measured with a RBW of 0.001% of centre \n- The Continuum power threshold levels defined by:\nas measured with a RBW of 1% of centre frequency.', 'When commanded and processing data from Band 5b, CSP_Mid.CBF shall accept two streams (5b1 and 5b2) of dual polarization digitized data from each SKA1_Mid receptor. For each stream:\n1. the sample rate is 5.94+k*3/2*delta_f/1e9 Gsamples/sec.\n2. the bandwidth of the band of interest is 2.5 GHz\n3. the sky RF center frequency may be TM-defined tuned anywhere between f_c_rf=9.55 and f_c_rf=14.05 GHz\n4. the center frequency of the band of interest in the digitized signal is f_c_boi=1.485-k*2*delta_f/1e9 + f_shift GHz\n5. has the same frequency sense as RF and\n6. has net downconversion frequency of f_c_rf_c_boi=f_c_rf- f_c_boi\nWhere: k=positive integer defined for each receptor by CSP_Mid.LMC, delta_f=1800 Hz, f_shift is CSP_Mid.LMC-defined anywhere in the range of at least +/-1/2 Frequency Slice processed bandwidth with at least 0.01 MHz tuning resolution, and k*3/s*delta_f does not exceed 4 MHz.', 'if no part tracking (i.e. pallet rf tag, etc.) is used or if the last station (packaging) includes a process (e.g. screw driving) then process failures will require an operator intervention (e.g. a reset, password, or key switch) before the failed part can be removed from the station the operator or equipment will remove non-conforming product at the point of failure to a lock box or equivalent quality device the equipment must confirm the placement of the non-confirming material in the lock box before restarting further more the control has to count each failure in order to validate the number of bad parts in the box and the number of occurred failures the lock box will have ergonomic access such as a chute or gravity conveyor no part damage is allowed and has to be considered for the design of the conveyor (opportunity for potential rework) for end of line testing stations only automated bad part handling is allowed.']"
0,48,0_retests_testing_retest_test,"['retests', 'testing', 'retest', 'test', 'specimen', 'specification', 'specimens', 'castings', 'casting', 'hardness']","['test', 'castings', 'specimen', 'specification', 'casting', 'requirements', 'hardness', 'specimens', 'results', 'heat']","['retests', 'specimens', 'casting', 'hardness', 'valid', 'requirements', 'values', 'tolerances', 'steel', 'yield']","['If the results of a valid test fail to conform to the requirements of this specification, two retests shall be made. If either retest fails to meet the specification, the castings repre_x0002_sented by these test specimens shall be rejected. A valid test is one wherein the test specimen has been properly prepared and appears to be sound and on which the approved test procedure has been followed', 'If sufficient companion test bars are unavailable, the manufacturer shall have the option of testing a specimen cut from a representative casting. Therefore, as stated in X1.3, the mechanical properties of such tension test specimen removed from a production casting will not necessarily correspond to those of a standard separately cast test specimen, the values in Table 1 do not apply. Instead, the mechanical properties of the test specimen from the casting must equal or exceed the average of those from similar test specimens removed from the same location from two castings of the same design where separately cast test bars meet the requirements of Table', 'If sufficient companion test bars are unavailable, the manufacturer shall have the option of testing a specimen cut from a representative casting. Therefore, as stated in X1.3, the mechanical properties of such tension test specimen removed from a production casting will not necessarily correspond to those of a standard separately cast test specimen, the values in Table 1 do not apply. Instead, the mechanical properties of the test specimen from the casting must equal or exceed the average of those from similar test specimens removed from the same location from two castings of the same design where separately cast test bars meet the requirements of Table 1.']"
1,40,1_threading_line_dials_inspection,"['threading', 'line', 'dials', 'inspection', 'stations', 'station', 'box', 'pin', 'flow', 'alignment']","['threading', 'station', 'end', 'line', 'box', 'pin', 'identical', 'inspection', 'protector', 'design']","['threading', 'dials', 'inspection', 'station', 'flow', 'alignment', 'lever', 'operation', 'counterclockwise', 'cnc']","[' Each threading line shall have a box end end blast station. ', ' Each threading line shall have a box end threading inspection station. ', ' Each threading line shall have a box end threading inspection station. ']"
2,31,2_pipe_threaded_adjustable_adjustment,"['pipe', 'threaded', 'adjustable', 'adjustment', 'inspection', 'threading', 'upstream', 'lifts', 'mechanism', 'lifted']","['stop', 'pipe', 'adjustable', 'station', 'lift', 'threading', 'box', 'end', 'mechanism', 'paddle']","['threaded', 'adjustment', 'inspection', 'upstream', 'lifts', 'actuated', 'manually', 'construction', 'gravity', 'station']","[' Each pipe shall gravity roll to the adjustable pipe stop at the pin end threading station. ', ' Each box end threading inspection station shall have an automatic adjustable pipe stop. ', ' Each pipe shall gravity roll to the adjustable pipe stop at the box end threading station. ']"
3,26,3_dish_pointing_ranging_tracking,"['dish', 'pointing', 'ranging', 'tracking', 'sensor', 'coordinate', 'coordinates', 'angles', 'range', 'azimuth']","['dish', 'pointing', 'tracking', 'corrections', 'element', 'elevation', 'model', 'commands', 'performance', 'capable']","['dish', 'ranging', 'tracking', 'sensor', 'coordinates', 'azimuth', 'elevation', 'capability', 'modes', 'frequency']","['The dish element shall achieve full performance as specified for pointing and tracking, over the full performance pointing range with elevation rates ranging from 0 up to 0.08 deg/sec.', 'The dish element shall achieve full performance as specified for pointing and tracking, over the full performance pointing range with azimuth rates ranging from 0 up to 0.3 deg/sec.', 'The dish element shall achieve full performance as specified for pointing, tracking and scanning at all coordinates with elevation angles from 15° up to 85° and azimuth within the range from -270° to +270°, all angles inclusive of pointing model corrections.']"
4,25,4_csp_telescope_timestamps_cspmidcbf,"['csp', 'telescope', 'timestamps', 'cspmidcbf', 'utc', 'timescale', 'timestamp', 'cspmidlmcprovided', 'sky', 'cspmid']","['time', 'delay', 'telescope', 'models', 'configuration', 'timestamp', 'reference', 'integration', 'visibilities', 'changes']","['telescope', 'timestamps', 'utc', 'cspmidlmcprovided', 'delay', 'precision', 'temporal', 'deterministically', 'phasebinned', 'subarray']","['For each subarray and across configuration changes, including Band changes, power cycles, resets, and fault recoveries, each CSP_Mid.CBF output VLBI beam channel data sample shall be timestamped with respect to the best representation of telescope reference time available to CSP_Mid.CBF, to a precision allowed by the MID CSP to VLBI ICD, and with accuracy to fundamental telescope reference time limited only by the accuracy of the best representation of telescope reference time available to CSP_Mid.CBF.', 'For each subarray and across configuration changes, including Band changes, power cycles, resets, and fault\nrecoveries, CSP_Mid.CBF shall consistently and\ndeterministically timestamp visibilities with respect to the best representation of telescope reference time available to CSP, with timestamp according to the MID SDP to CSP Interface Control Document [300-000000-002], and with an RMS error less than the output TCI time resolution or the inverse of the visibility channel resolution, whichever is larger and applicable.', 'For each subarray and across configuration changes, including Band changes, power cycles, resets, and fault recoveries, CSP_Mid.CBF shall consistently and deterministically apply delay and phase tracking models to a precision of at least within +/- 1 sample time at the frequency resolution where they are applied and with accuracy to fundamental telescope reference time limited only by the accuracy of the best representation of telescope reference time available to CSP.']"
5,23,5_deactivation_hmis_hmi_timers,"['deactivation', 'hmis', 'hmi', 'timers', 'switches', 'sensor', 'controlled', 'bypassed', 'off', 'mode']","['cylinder', 'manual', 'sensors', 'error', 'timers', 'status', 'time', 'shift', 'actuator', 'password']","['deactivation', 'hmis', 'timers', 'switches', 'mode', 'reset', 'password', 'sensors', 'actuator', 'hhmmss']","['each station can be switched off bypassed separately through the hmi (password protected) deactivation of a station must be indicated by the module status lighting (see 2.7).', 'end-of-stroke cylinder sensors must monitor every pneumatically triggered actuator movement end of stroke cylinder switches must be solid state reed switches are not permitted functional failures must be displayed on the hmi and must correspond to the labeling of the actuator and end-of-stoke switch valve banks and cylinder sensors must be equipped with an led indicating the signal status end-of-stroke switches must be supplied with sensors to support fast exchange and must feature a led to display the signal status.', 'all error messages must be displayed on the hmi fault information must be as detailed aspossible error messages shall not block the hmi all functions of the hmi shall remain accessible and operable even with an error message present a bad operation must be signalized by a red light, a good operation by a green light.']"
6,23,6_safety_equipment_personnel_guards,"['safety', 'equipment', 'personnel', 'guards', 'protect', 'ergonomics', 'mechanical', 'osha', 'clutches', 'guarding']","['personnel', 'safety', 'equipment', 'guards', 'system', 'maximum', 'ergonomic', 'following', 'arm', 'damage']","['safety', 'equipment', 'personnel', 'guards', 'ergonomics', 'osha', 'clutches', 'standards', 'screws', 'lubricate']","[""The Supplier's equipment and system shall be designed for maximum personnel safety including, but not limited to, the following: Ability to lubricate components and equipment with out the removal of guards."", ""The Supplier's equipment and system shall be designed for maximum personnel safety including, but not limited to, the following: Equipment lifting lugs."", ""The Supplier's equipment and system shall be designed for maximum personnel safety including, but not limited to, the following: Drive and other equipment guards (metallic only).""]"
7,23,7_ghz_rf_hz_receptor,"['ghz', 'rf', 'hz', 'receptor', 'cspmidcbf', 'receptors', 'frequency', 'receptorvsreceptor', 'csp', 'cspmidlmc']","['receptor', 'subarray', 'receptors', 'data', 'processing', 'signal', 'digitized', 'sample', 'particular', 'frequency']","['ghz', 'cspmidcbf', 'receptorvsreceptor', 'polarization', 'ska1mid', 'samples', 'configuration', 'doppler', 'correlator', 'requantizer']","['When commanded and processing data from Band 2, CSP_Mid.CBF shall accept dual polarization digitized data from each SKA1_Mid receptor at a sample rate of 3.96+k*delta_f/1e9 Gsamples/sec, with the RF (sky) band of interest present in the digitized signal from 0.95 to 1.76 GHz, with the same frequency sense as RF, with sky center frequency of 1.355 GHz, and with a net down-conversion frequency of 0 Hz.\nWhere: k=positive integer defined for each receptor by CSP_Mid.LMC, delta_f=1800 Hz, and k*delta_f does not exceed 4 MHz.', ""When commanded, CSP_Mid.CBF shall report at least the following processing status:\n1. Band configuration for any SKA1_Mid receptor's processing path,\n2. Function Mode for any Frequency Slice Processor,\n3. for each Frequency Slice Processor, the Frequency Slice or Search Window being processed for each input,\n4. receptor inclusion in any receptor-vs-receptor (i.e. correlation or beamforming) processing operation and output data production and,\n5. any accumulated/stored exception or inconsistency- detection conditions."", 'CSP_Mid.CBF shall provide the following general capabilities to support CSP_Mid.LMC-defined and managed subarraying capability, including engineering subarrays, in accordance with the latest SKA1 CSP LMC to CSP Sub-elements Interface Control Document [SKA-TEL-CSP-0000019]:\n1. subarray configuration, including Band changes and Frequency Slice Processor Function Mode changes, does not affect processing, internal communication, or data product output in other subarrays (see Note below).\n2. all CSP_Mid.CBF receptor-based processing steps occur independently of each other (i.e. it must not be necessary for any receptor\'s processing step to ""wait"" for any other receptor).\n3. any particular Frequency Slice Processor Function Mode reconfiguration does not impact any other Frequency Slice Processor\'s current configuration or continuity of data processing or data output,\n4. loss or interruption of signal reception or continuity from any one or more SKA1_Mid receptors can be flagged and does not in any way impact any other receptor\'s processing or any receptor-vs-receptor processing.\n5. any particular SKA1_Mid receptor has only one boresight pointing direction at any given time.\n6. any particular SKA1_Mid receptor is a member of only one subarray at any given time,\n7. any subbarray is configured for only one Band at any given time and,\n8. when a VLBI subarray is simultaneously producing Pulsar Search beams for Transient Search, the subarray phase center is subject to the restrictions of a non-VLBI subarray phase center.']"
8,21,8_components_supplier_equipment_yarn,"['components', 'supplier', 'equipment', 'yarn', 'documents', 'assembly', 'purchasers', 'purchaser', 'data', 'furnish']","['controls', 'major', 'drawings', 'following', 'data', 'components', 'documents', 'field', 'equipment', 'assembly']","['components', 'supplier', 'yarn', 'documents', 'services', 'drawings', 'expenses', 'supervision', 'disassembly', 'creel']","['The Supplier shall furnish all equipment, controls, data, drawings, etc. defined in the Purchaserís documents and data including, but not limited to, the following major components: Creel Framework Assembly.', 'The Supplier shall furnish all equipment, controls, data, drawings, etc. defined in the Purchaserís documents and data including, but not limited to, the following major components: Yarn Rollers.', 'The Supplier shall furnish all equipment, controls, data, drawings, etc. defined in the Purchaserís documents and data including, but not limited to, the following major components: All assembly hardware.']"
