Topic,Count,Name,Representation,Aspect1,Aspect2,Representative_Docs
-1,232,-1_ghz_rf_frequency_signal,"['ghz', 'rf', 'frequency', 'signal', 'station', 'band', 'receptor', 'languagepreferredcomponentdef', 'data', 'digitized']","['band', 'frequency', 'number', 'rf', 'part', 'power', 'data', 'life', 'other', 'systems']","['ghz', 'rf', 'frequency', 'signal', 'receptor', 'languagepreferredcomponentdef', 'transfer', 'code', 'systems', 'securely']","['When commanded and processing data from Band 2, CSP_Mid.CBF shall accept dual polarization digitized data from each SKA1_Mid receptor at a sample rate of 3.96+k*delta_f/1e9 Gsamples/sec, with the RF (sky) band of interest present in the digitized signal from 0.95 to 1.76 GHz, with the same frequency sense as RF, with sky center frequency of 1.355 GHz, and with a net down-conversion frequency of 0 Hz.\nWhere: k=positive integer defined for each receptor by CSP_Mid.LMC, delta_f=1800 Hz, and k*delta_f does not exceed 4 MHz.', 'When commanded and processing data from Band 5b, CSP_Mid.CBF shall accept two streams (5b1 and 5b2) of dual polarization digitized data from each SKA1_Mid receptor. For each stream:\n1. the sample rate is 5.94+k*3/2*delta_f/1e9 Gsamples/sec.\n2. the bandwidth of the band of interest is 2.5 GHz\n3. the sky RF center frequency may be TM-defined tuned anywhere between f_c_rf=9.55 and f_c_rf=14.05 GHz\n4. the center frequency of the band of interest in the digitized signal is f_c_boi=1.485-k*2*delta_f/1e9 + f_shift GHz\n5. has the same frequency sense as RF and\n6. has net downconversion frequency of f_c_rf_c_boi=f_c_rf- f_c_boi\nWhere: k=positive integer defined for each receptor by CSP_Mid.LMC, delta_f=1800 Hz, f_shift is CSP_Mid.LMC-defined anywhere in the range of at least +/-1/2 Frequency Slice processed bandwidth with at least 0.01 MHz tuning resolution, and k*3/s*delta_f does not exceed 4 MHz.', 'When commanded and processing data from Band 3, CSP_Mid.CBF shall accept dual polarization digitized data from each SKA1_Mid receptor with:\n1. a sample rate of 3.168+k*4/5*delta_f/1e9 Gsamples/sec,\n2. the bandwidth of the band of interest of 1.4 GHz,\n3. the sky RF center frequency of 2.35 GHz,\n4. the center frequency of the band of interest in the digitized signal of f_c_boi=0.766-k*2/5*delta_f/1e9 GHz,\n5. the same frequency sense as RF and,\n6. net downconversion frequency of f_c_rf-f_c_boi.\nWhere: k=positive integer defined for each receptor by CSP_Mid.LMC, delta_f=1800 Hz, and k*4/5*delta_f does not exceed 4 MHz.']"
0,148,0_pipe_lift_lowered_lifting,"['pipe', 'lift', 'lowered', 'lifting', 'lifted', 'conveyor', 'adjustable', 'mechanism', 'pump', 'threading']","['pipe', 'station', 'end', 'vrollers', 'box', 'stop', 'threading', 'lift', 'paddle', 'transfer']","['pipe', 'lift', 'conveyor', 'adjustable', 'mechanism', 'transferred', 'inspection', 'manually', 'station', 'vrollers']","[' Each pipe shall gravity roll to the adjustable pipe stop at the box end threading station. ', ' If the pipe recipe is not premium thread then the pipe shall be transferred through the box end end blast station and escaped onto the box end end blast station vrollers by paddle lift and vrollers shall lower the pipe onto the transfer table to roll to the next station. ', ' Each box end pipe dope station paddle lift shall lower the pipe onto the box end pipe dope station vrollers. ']"
1,86,1_dsh_tm_monitoring_mode,"['dsh', 'tm', 'monitoring', 'mode', 'modes', 'capability', 'reporting', 'sadtdsh', 'state', 'operating']","['conditions', 'lightning', 'mode', 'state', 'equipment', 'pedestal', 'reporting', 'structure', 'capability', 'following']","['dsh', 'tm', 'monitoring', 'modes', 'capability', 'command', 'logs', 'firmware', 'states', 'remotely']","['TM shall control DSH using the DSH external state model.', 'The DSH shall persist the not fitted status ofitems in the DSH structure of reporting beyond the TM-DSH communication session and beyond the powered up state of the DSH.', 'The DSH shall report the DSH element external state to TM as per the SKA Control Model.']"
2,86,2_iec_cspmidcbf_csp_cpf,"['iec', 'cspmidcbf', 'csp', 'cpf', 'mid', 'compliant', 'electromagnetic', 'radiated', 'electrical', 'emiemc']","['latest', 'version', 'accordance', 'equipment', 'air', 'racks', 'equivalent', 'standard', 'compliant', 'setups']","['iec', 'cspmidcbf', 'radiated', 'emiemc', 'standards', 'icd', 'emissions', 'immunity', 'cispr', 'hazards']","['CSP_Mid.CBF equipment connected to the CPF electrical network shall be compliant with the IEC 61000-4-4 standard or equivalent for electrical fast transient/burst immunity under standard test conditions and setups in accordance with the latest approved version of the MID CSP to INFRA ICD.', 'CSP_Mid.CBF equipment connected to the CPF electrical network shall be compliant with the IEC 61000-4-8 standard or equivalent for power frequency magnetic field immunity under standard test conditions and setups in accordance with the latest approved version of the MID CSP to INFRA ICD.', 'CSP_Mid.CBF equipment connected to the CPF electrical network shall be compliant with the IEC 61000-3-2 standard or equivalent for Harmonic Current Emissions under standard test conditions and setups in accordance with the latest approved version of the MID CSP to INFRA ICD.']"
3,58,3_retests_testing_retest_test,"['retests', 'testing', 'retest', 'test', 'specimen', 'specification', 'specimens', 'castings', 'casting', 'tested']","['test', 'castings', 'specimen', 'specification', 'casting', 'specimens', 'heat', 'requirements', 'manufacturer', 'hardness']","['retests', 'specification', 'specimens', 'casting', 'hardness', 'values', 'reheat', 'required', 'steel', 'yield']","['If the results of a valid test fail to conform to the requirements of this specification, two retests shall be made. If either retest fails to meet the specification, the castings repre_x0002_sented by these test specimens shall be rejected. A valid test is one wherein the test specimen has been properly prepared and appears to be sound and on which the approved test procedure has been followed', 'If sufficient companion test bars are unavailable, the manufacturer shall have the option of testing a specimen cut from a representative casting. Therefore, as stated in X1.3, the mechanical properties of such tension test specimen removed from a production casting will not necessarily correspond to those of a standard separately cast test specimen, the values in Table 1 do not apply. Instead, the mechanical properties of the test specimen from the casting must equal or exceed the average of those from similar test specimens removed from the same location from two castings of the same design where separately cast test bars meet the requirements of Table 1.', 'If sufficient companion test bars are unavailable, the manufacturer shall have the option of testing a specimen cut from a representative casting. Therefore, as stated in X1.3, the mechanical properties of such tension test specimen removed from a production casting will not necessarily correspond to those of a standard separately cast test specimen, the values in Table 1 do not apply. Instead, the mechanical properties of the test specimen from the casting must equal or exceed the average of those from similar test specimens removed from the same location from two castings of the same design where separately cast test bars meet the requirements of Table']"
4,48,4_csp_cspmidcbf_cspmidlmc_frequency,"['csp', 'cspmidcbf', 'cspmidlmc', 'frequency', 'receptor', 'receptors', 'signal', 'delay', 'bandwidth', 'processing']","['subarray', 'receptor', 'time', 'delay', 'receptors', 'phase', 'processing', 'data', 'configuration', 'sample']","['cspmidlmc', 'frequency', 'receptor', 'delay', 'utc', 'sampled', 'icd', 'sky', 'configurable', 'polarization']","[""When commanded, CSP_Mid.CBF shall report at least the following processing status:\n1. Band configuration for any SKA1_Mid receptor's processing path,\n2. Function Mode for any Frequency Slice Processor,\n3. for each Frequency Slice Processor, the Frequency Slice or Search Window being processed for each input,\n4. receptor inclusion in any receptor-vs-receptor (i.e. correlation or beamforming) processing operation and output data production and,\n5. any accumulated/stored exception or inconsistency- detection conditions."", 'For each subarray and across configuration changes, including Band changes, power cycles, resets, and fault recoveries, CSP_Mid.CBF shall consistently and deterministically apply delay and phase tracking models to a precision of at least within +/- 1 sample time at the frequency resolution where they are applied and with accuracy to fundamental telescope reference time limited only by the accuracy of the best representation of telescope reference time available to CSP.', 'CSP_Mid.CBF shall provide the following general capabilities to support CSP_Mid.LMC-defined and managed subarraying capability, including engineering subarrays, in accordance with the latest SKA1 CSP LMC to CSP Sub-elements Interface Control Document [SKA-TEL-CSP-0000019]:\n1. subarray configuration, including Band changes and Frequency Slice Processor Function Mode changes, does not affect processing, internal communication, or data product output in other subarrays (see Note below).\n2. all CSP_Mid.CBF receptor-based processing steps occur independently of each other (i.e. it must not be necessary for any receptor\'s processing step to ""wait"" for any other receptor).\n3. any particular Frequency Slice Processor Function Mode reconfiguration does not impact any other Frequency Slice Processor\'s current configuration or continuity of data processing or data output,\n4. loss or interruption of signal reception or continuity from any one or more SKA1_Mid receptors can be flagged and does not in any way impact any other receptor\'s processing or any receptor-vs-receptor processing.\n5. any particular SKA1_Mid receptor has only one boresight pointing direction at any given time.\n6. any particular SKA1_Mid receptor is a member of only one subarray at any given time,\n7. any subbarray is configured for only one Band at any given time and,\n8. when a VLBI subarray is simultaneously producing Pulsar Search beams for Transient Search, the subarray phase center is subject to the restrictions of a non-VLBI subarray phase center.']"
5,47,5_pipelines_pipe_tests_specimen,"['pipelines', 'pipe', 'tests', 'specimen', 'trench', 'test', 'depth', 'thickness', 'specifications', 'bend']","['pipe', 'in', 'concrete', 'mm', 'diameter', 'test', 'length', 'surface', 'water', 'outside']","['pipelines', 'tests', 'trench', 'thickness', 'flattening', 'hydrostatic', 'slopes', 'cement', 'backfill', 'irrigation']","['The flattening test of Specification A530/A530M shall be made on a specimen from one end or both ends of each pipe. Crop ends may be used. If this supplementary requirement is specified, the number of tests per pipe shall also be specified. If a specimen from any length fails because of lack of ductility prior to satisfactory completion of the first step of the flattening test requirement, that pipe shall be rejected subject to retreat_x0002_ment in accordance with Specification A530/A530M and satisfactory retest. If a specimen from any length of pipe fails because of a lack of soundness, that length shall be rejected, unless subsequent retesting indicates that the remaining length is sound', 'The initial soil backfill, with the moisture content specified in paragraph 4.4.1.3, shall be noncohesive of a texture coarser than clay. (Soil will not ribbon in fingers when wet, or shall not have more than 30% by weight of material finer than 2 µ.) It shall be free from rocks or other pieces larger than 75 mm (3 in.), broken concrete, timber, roots, and other debris. The backfill shall be placed around the pipe in lifts uniformly on both sides to prevent displacement and consolidated to densities as given in the project specifications. The backfill shall cover the pipe to a depth of at least 150 mm (6 in.) for the full width of the trench and not more than seven sections of pipe behind the laying. If laying ceases for 2 h or more, the initial backfill shall be brought up to and cover the last completed joint. Backfilling while mortar bands are still plastic is permissible. If complete backfilling is not done at this time, the completion shall be delayed at least 20 h, but must be completed to the minimum specified cover or 0.6 m (2 ft), whichever is less, before water is put into the line.', 'Test specimens for the bend test specified in 11.2 shall be cut from one end of the pipe and, unless otherwise specified, shall be taken in a transverse direction. One test specimen shall be taken as close to the outer surface as possible and another from as close to the inner surface as possible. The specimens shall be either 1⁄2 by 1⁄2 in. [12.5 by 12.5 mm] in section or 1 by 1⁄2 in. [25 by 12.5 mm] in section with the corners rounded to a radius not over 1⁄16 in. [1.6 mm] and need not exceed 6 in. [150 mm] in length. The side of the samples placed in tension during the bend shall be the side closest to the inner and outer surface of the pipe respectively']"
6,47,6_cspmidcbf_csp_icd_sdp,"['cspmidcbf', 'csp', 'icd', 'sdp', 'is1msdpcsp001', 'interface', 'transmit', 'section', 'protocol', 'sadt']","['interface', 'packet', 'section', 'compliant', 'packets', 'protocol', 'data', 'visibility', 'external', 'beam']","['cspmidcbf', 'icd', 'sdp', 'is1msdpcsp001', 'protocol', 'metadata', 'maskandmatch', 'dish', 'bearer', 'instantiating']","['The visibility interface between SDP and CSP_Mid.CBF shall be compliant with the Interface ID I.S1M.SDP_CSP.001 section of the MID SDP to CSP ICD.', 'The CSP_Mid.CBF VLBI interface to SADT shall be compliant with the Interface ID I.S1M.SADT_CSP.008 section of the MID SADT to CSP ICD.', 'The SADT DDBH interface to CSP_Mid.CBF shall be compliant with the Interface ID I.S1M.SADT_CSP.009 section of the MID SADT to CSP ICD.']"
7,38,7_safety_equipment_personnel_ergonomics,"['safety', 'equipment', 'personnel', 'ergonomics', 'guards', 'mechanical', 'protect', 'components', 'ergonomic', 'osha']","['personnel', 'equipment', 'safety', 'floor', 'system', 'maximum', 'guards', 'work', 'operator', 'following']","['equipment', 'personnel', 'ergonomics', 'guards', 'protect', 'components', 'osha', 'clearance', 'workstation', 'bolted']","[""The Supplier's equipment and system shall be designed for maximum personnel safety including, but not limited to, the following: Drive and other equipment guards (metallic only)."", ""The Supplier's equipment and system shall be designed for maximum personnel safety including, but not limited to, the following: All electrical and mechanical controls or adjustments shall be accessible from the operating floor level during operation."", ""The Supplier's equipment and system shall be designed for maximum personnel safety including, but not limited to, the following: Equipment lifting lugs.""]"
8,36,8_threading_line_inspection_pipe,"['threading', 'line', 'inspection', 'pipe', 'stations', 'station', 'box', 'pin', 'alignment', 'processes']","['threading', 'station', 'end', 'line', 'box', 'pin', 'dope', 'individual', 'inspection', 'identical']","['threading', 'inspection', 'pipe', 'stations', 'pin', 'alignment', 'cnc', 'application', 'lifting', 'dope']","[' Each threading line shall have a box end end blast station. ', ' Each threading line shall have a box end threading inspection station. ', ' Each threading line shall have a box end threading inspection station. ']"
