text,label
Wire shall be wound with uniform tension and shall be furnished with a protective coating that will provide adequate lubricity and corrosion resistance but will not harden or produce a gummy condition in the baler tying mechanism,standard
machine will be equipped with a main air valve with soft start when the machine is powered on and rapidly exhaust all line pressure when the machine is powered off.,requirement
The Dish Element shall control the pointing position using time stamped Az/El pointing commands received from TM.,requirement
"While the values for yield point and yield strength are not identical, they are sufficiently close for most applications of ferritic malleable irons to be used interchangeably. They may be determined by any of the approved techniques described in the paragraphs on Determination of Yield Strength and Yield Point of Test Methods E8/E8M. If determined as yield strength, that stress producing an extension under load of 0.01 in. [0.25 mm] over the 2 in. [50 mm] gage length (for example, 0.5 % extension) or an offset of 0.2 % shall be taken as the yield stress, which shall be converted to yield strength by dividing by the original cross-sectional area of the gage length found in accordance with 7.3.2. It shall be reported to the nearest 100 psi [MPa]. In referee work, yield strength shall be determined as the stress that produces an extension under load of 0.5 % of the gage length.",standard
"When commanded, CSP_Mid.CBF shall transmit packets with payload size according to the Interface
ID I.S1M.SDP_CSP.001 section of the MID SDP to CSP ICD.",requirement
"the hmi needs to display the current shift counters, as well as the previous two shiftsí counters.",requirement
"If the size of the stand is decreased above the pump discharge pipe, the top vent portion shall be of such inside cross-sectional area that, if the entire flow of the pump were discharging through it, the average velocity would not exceed 3.0 m/s",standard
"DSH, when commanded to configure a new frequency band, shall move to the CONFIGURE mode and configure the new band within 30 seconds, whereafter it will revert to the mode from where the command was issued.",requirement
"Wrap geotextile in a protective covering to prevent damage
during shipping and handling. Label each roll to provide product identification for inventory
and quality control. In the field, store the fabric rolls in a manner that protects them from the
elements, including ultraviolet radiation",standard
"Sampling procedures and the frequency of hardness testing shall be fully detailed on the purchase agreement. Otherwise, hardness tests shall be performed at the discretion of the producer.",standard
"Scarify the roadbed, including shoulders, to the specified depth and width. Pulverize the scari-
fied material so that a minimum of 95 percent, excluding gravel or stone, passes a 2-in. (50-mm)
sieve.",standard
 Each of the radial rollers and paddle lift and pipe stop shall be designed modularly and securely attached to each base frame so that the overall base design of each station is similar and will not require as much expertise to maintain. ,requirement
 When a pipe is detected at the fixed pipe stop and the box end pipe dope station is empty the pipe shall be automatically loaded. ,requirement
Castings shall have gates and risers removed in such a manner that no riser or gate stub projects or a depression is made beyond or below the casting design contour in an amount that would exceed the values given in Table S52.1.,standard
The Supplier shall furnish at no charge to the Purchaser the following: Leveling shims required for field installation plus 10% overage.,requirement
hot-swappable drives using mirror cases.,requirement
"Because of the complexity of these factors in influ_x0002_encing the properties of the final product, no precise quantita_x0002_tive relationship can be stated between the properties of the iron in various locations of the same casting or between the properties of a casting and those of a test specimen cast from the same iron. When such a relationship is important and must be known for a specific application, it may be determined by appropriate experimentation",standard
"Items identified as OLM Spare Items, shall be interchangeable with items of the same Part Number and Version with no calibration, tuning or special alignment.",requirement
 Automatic adjustment of the adjustable pipe stop shall be programmatically selected with outer diameter recipe on each of the HMIs. ,requirement
"While the CSP_Mid.CBF Administrative Mode is set to ONLINE or MAINTENANCE, CSP_Mid.CBF shall detect and report Single Event Upsets (SEUs) independently of manifestation through programmable logic device malfunction.",requirement
"The microstructure of the malleable iron shall consist of temper carbon nodules distributed through a ferritic matrix and shall be free of excessive pearlite, massive carbides, and primary graphite.",standard
The TM shall configure the DSH parameters as required for the observation. The TM will do this by passing parameters to DSH via a Capability request.,requirement
"When commanded for each subarray, CSP_Mid shall capture into a Transient buffer selectable 2-bit, 4-bit, or 8-bit quantized dual- polarization voltage data selectable from one or both of the Search Windows, post-delay and phase corrected.",requirement
Furnace temperatures for heat treating shall be regulated by the use of pyrometers,standard
"Sprinkle the surface of the completed OGPCCB with a fine spray of water
every 2 for a period of 8 h. Begin curing the morning after the base has been placed.",standard
"Except for Grades N-1 and N-2, one tension test shall be performed on each heat and the mechanical properties shall conform to the requirements specified in Table 2",standard
"The initial soil backfill, with the moisture content specified in paragraph 4.4.1.3, shall be noncohesive of a texture coarser than clay. (Soil will not ribbon in fingers when wet, or shall not have more than 30% by weight of material finer than 2 µ.) It shall be free from rocks or other pieces larger than 75 mm (3 in.), broken concrete, timber, roots, and other debris. The backfill shall be placed around the pipe in lifts uniformly on both sides to prevent displacement and consolidated to densities as given in the project specifications. The backfill shall cover the pipe to a depth of at least 150 mm (6 in.) for the full width of the trench and not more than seven sections of pipe behind the laying. If laying ceases for 2 h or more, the initial backfill shall be brought up to and cover the last completed joint. Backfilling while mortar bands are still plastic is permissible. If complete backfilling is not done at this time, the completion shall be delayed at least 20 h, but must be completed to the minimum specified cover or 0.6 m (2 ft), whichever is less, before water is put into the line.",standard
The maximum outside dimensions of the empty carton shall be 349.3 x 355.6 x 165.1 mm (13.75 x 14.00 x 6.50 in.). A knockout hole with a maximum diameter of 190.5 mm (7.50 in.) shall be provided on each side of the carton. It is intended that this carton fit balers designed subsequent to the December 1969 revision of this Standard. The 355.6 mm (14.00 in.) dimension may cause some interference with balers currently in the field,standard
